"GPS Time","Q1","Q2","Q3","Q4","UTC","Sats","Lat","Lon","Elev","Intv","...12","Camera A","...14","Camera B","...16","ground_elev","AGL"
189305034,0.4418,-0.5441,0.5824,0.4117,2024-09-03 04:34:47.034,16,-20.288305206,32.319660388,804.5191,NA,NA,"Sango_R_A__03229_D2_03092024.JPG",NA,"Sango_L_B__03266_D2_03092024.JPG",350,453,351.5191
189308434,0.4373,-0.5363,0.5881,0.4187,2024-09-03 04:34:50.434,16,-20.288368765,32.318110166,806.6959,3.4,NA,"Sango_R_A__03230_D2_03092024.JPG",NA,"Sango_L_B__03267_D2_03092024.JPG",4,453,353.6959
189311434,0.4407,-0.5257,0.591,0.4245,2024-09-03 04:34:53.434,16,-20.288402779,32.316748401,802.8581,3,NA,"Sango_R_A__03231_D2_03092024.JPG",NA,"Sango_L_B__03268_D2_03092024.JPG",3,449,353.8581
189314834,0.4372,-0.5465,0.5836,0.412,2024-09-03 04:34:56.834,16,-20.288440431,32.315179105,798.4475,3.4,NA,"Sango_R_A__03232_D2_03092024.JPG",NA,"Sango_L_B__03269_D2_03092024.JPG",3,449,349.4475
189318233,0.4311,-0.5466,0.5788,0.4248,2024-09-03 04:35:00.233,16,-20.288449668,32.313595525,794.917,3.399,NA,"Sango_R_A__03233_D2_03092024.JPG",NA,"Sango_L_B__03270_D2_03092024.JPG",3,447,347.917
189321233,0.4329,-0.5499,0.5829,0.4129,2024-09-03 04:35:03.233,16,-20.288439067,32.312176217,792.9753,3,NA,"Sango_R_A__03234_D2_03092024.JPG",NA,"Sango_L_B__03271_D2_03092024.JPG",3,445,347.9753
189324633,0.4355,-0.5438,0.584,0.4167,2024-09-03 04:35:06.633,16,-20.288415481,32.310573707,792.6427,3.4,NA,"Sango_R_A__03235_D2_03092024.JPG",NA,"Sango_L_B__03272_D2_03092024.JPG",4,452,340.6427
189327633,0.4355,-0.5445,0.5833,0.4166,2024-09-03 04:35:09.633,16,-20.288382777,32.309165332,791.8473,3,NA,"Sango_R_A__03236_D2_03092024.JPG",NA,"Sango_L_B__03273_D2_03092024.JPG",3,450,341.8473
189331034,0.4366,-0.5418,0.5866,0.4144,2024-09-03 04:35:13.034,16,-20.288336268,32.307572431,790.4189,3.401,NA,"Sango_R_A__03237_D2_03092024.JPG",NA,"Sango_L_B__03274_D2_03092024.JPG",3,451,339.4189
189334434,0.4349,-0.5394,0.5863,0.4198,2024-09-03 04:35:16.434,16,-20.288287716,32.305992631,788.8111,3.4,NA,"Sango_R_A__03238_D2_03092024.JPG",NA,"Sango_L_B__03275_D2_03092024.JPG",4,448,340.8111
